L'illustre Partonneau	Pierre Mille	75357	French
Do you believe in fairies?	Lenora de Lima Andrews	75356
Sophonisbe	Lauri Haarla	75355	Finnish
Suuret haaveilijat	Kaapo Murros	75354	Finnish
Claude Monet; les Nympheas	Georges Clemenceau	75353	French
Das Protistenreich	Ernst Haeckel	75352
[Author: Ernst Haeckel [Language: German
Won over	Nellie Hellis	75351
The education and employment of women	Josephine E. Butler	75350
Rambles in Waltham Forest	Countess of Blessington	75349
Address	Josephine E. Butler	75348
Sun Dog loot	W. C. Tuttle	75347
Muistelmia ja kuvauksia kielitaistelun ajoilta	F. H. B. Lagus	75346	Finnish
The process of gilding and bronzing picture frames	Isaac H. Walker	75345
Household words	Charles Dickens	75344
A day in Mary Carrow's school	Anonymous	75343
Tour of the Zero Club	Edward Stratemeyer	75342
The dreadful dragon of Hay Hill	Max Beerbohm	75341
Destiny	G. P. S.	75340
Stories of Charlemagne	A. J. Church	75339
The heiress of McGregor	Lucy Ellen Guernsey	75338
An address to Highlanders respecting their native Gaelic,	75337
Isänmaattomat	Herman Bang	75336	Finnish
Voittoisa nainen	Pierre de Coulevain	75335	Finnish
The girls	Edna Ferber	75334
On dreams	Sigmund Freud	75333
Christina and the boys	Amy Le Feuvre	75332
The fireside story book	Maria Edgeworth	75331
Yleinen Maatiede	Lavus Korander	75330	Finnish
Chambers's Journal of Popular Literature, Science, and Art, Fifth	75329
Els vells	Ignasi Iglesias	75328	Catalan
The world of the great forest	Paul Du Chaillu	75327
A few secrets of the metallurgist simply told	Gerald W. Hinkley	75326
The Bellamy trial	Frances Noyes Hart	75325
The early history of the Hebrews	A. H. Sayce	75324
The Grand Fleet 1914-1916	John Rushworth Jellicoe	75323
Tom Swift and his house on wheels	Victor Appleton	75322
Kuolemaan tuomittu	Fredrik Dentz	75321	Finnish
History of the Zulu war and its origin	Frances Ellen Colenso	75320
Skandinavian metsäsuomalaisten vaiheet	Väinö Salminen	75319	Finnish
The Duke of York's steps	Henry Wade	75318
When shadows die	Emma Dorothy Eliza Nevitte Southworth	75317
The fulfilment	Edith Allonby	75316
Golo	Pol Neveux	75315	French
Emmanuel Appadocca; or, blighted life, Volume 2 of 2	Maxwell Philip	75314
Emmanuel Appadocca; or, blighted life, Volume 1 of 2	Maxwell Philip	75313
Grundzüge der Paläontologie	Karl Alfred von Zittel	75312	German
Petúr meg a dinnye és más 30 humor	Andor Gábor	75311	Hungarian
The secret of the caves	Franklin W. Dixon	75310
Paul Ralston	Mary Jane Holmes	75309
La pena de mort	Gabriel Alomar	75308	Catalan
The Crow's Inn tragedy	Annie Haynes	75307
Kultainen lyyra	Maila Talvio	75306	Finnish
Kokouksesta palattua	Väinö Kataja	75305	Finnish
The house without windows	Barbara Newhall Follett	75304
Stentor	David Ockham	75303
Dyes and dyeing	Charles Ernest Pellew	75302
De verdwijn-machine	Kees Valkenstein	75301	Dutch
Manners for the metropolis	Francis W. Crowninshield	75300
A travers la Russie boréale	Charles Rabot	75299	French
Rudin	Iwan Turgenieff	75298	German
Reconnaissance au Maroc, 1883-1884 (Atlas)	Charles de Foucauld	75297	French
Reconnaissance au Maroc, 1883-1884 (Texte)	Charles de Foucauld	75296	French
Sketches of lowly life in a great city	Michael Angelo Woolf	75295
History as literature and other essays	Theodore Roosevelt	75294
The war drama of the Eagles	Edward Fraser	75293
Travels to Tana and Persia	Josafa Barbaro and Ambrogio Contarini	75292
Rakkauden kirous	Harri Kangas	75291	Finnish
Kahden muurahaisen seikkailut	Nanny Hammarström	75290	Finnish
Electric railways	James R. Cravath	75289
The seven dials mystery	Agatha Christie	75288
Bird studies with a camera	Frank M. Chapman	75287
Szerelmesek	Ferenc Herczeg	75286	Hungarian
Hellas	Dr. Ernst Weber	75285	German
An inquiry into the propagation of contagious poisons	the atmosphere, 75284
Outlines of Mahayana Buddhism	Daisetz Teitaro Suzuki	75283
The pirates of the New England coast 1630-1730	George Francis Dow	75282
Dorset dear	M. E. Francis	75281
Metsäpirtissä	Antti Rytönen	75280	Finnish
The ugly-girl papers	Harper & Brothers	75279
Mistä tulen, mihin menen?	Carl du Prel	75278	Finnish
Kriegsgefangen	Theodor Fontane	75277	German
A crown of shame, Volume 3 of 3	Florence Marryat	75276
A crown of shame, Volume 2 of 3	Florence Marryat	75275
A crown of shame, Volume 1 of 3	Florence Marryat	75274
Death in the dusk	Virgil Markham	75273
Willem Janszoon Blaeu	Edward Luther Stevenson	75272
Tales of the turf	Hugh S. Fullerton	75271
The return of Alcestis	Laurence Housman	75270
La Palingenesi di Roma	Guglielmo Ferrero and Leo Ferrero	75269	Italian
De Werken van William Shakespeare	75268	Dutch
Wald	Dr. Ernst Weber	75267	German
Trial of the major war criminals before the International Military	75266
Notes on the Royal Academy Exhibition, 1868	William Michael Rossetti 75265
L'histoire sociale au Palais de justice, Plaidoyers philosophiques,	75264	French
From the heart of a friend	Amy Addingley	75263
Calvin Morgan McClung historical collection	Lawson McGhee Library	75262
Frank and Andy at boarding school	Vance Barnum	75261
Olavinlapset	Sigrid Undset	75260	Finnish
Lankeemus	Emmanuel Bove	75259	Finnish
The perfume of the lady in black	Gaston Leroux	75258
The nights of Straparola	Giovanni Francesco Straparola	75257
Pirate tales from the law	Arthur M. Harris	75256
Napváros	Ferenc Herczeg	75255	Hungarian
Physico-theology	William Derham	75254
Lettres d'amour	Cyrano de Bergerac	75253	French
La conqueste du chasteau d'amours conquestee par l'umilité du beau	75252	French
Ruth	Lou Andreas-Salomé	75251	German
Lefty o' the Big League	Burt L. Standish	75250
Uskonto ja tiede	Harald Høffding	75249	Finnish
Pegasus: problems of transportation	J. F. C. Fuller	75248
The coming of peace	Gerhart Hauptmann	75247
It pays to advertise	Roi Cooper Megrue and Walter Hackett	75246
Manuel de politique musulmane	Un Africain	75245	French
The shadow of the Wolf	R. Austin Freeman	75244
The hell bomb	William L. Laurence	75243
Tuomivaaran tuolta puolen	Toivo Lyy	75242	Finnish
Kuninkaallinen lootus	Anonymous	75241	Finnish
Suspense	Isabel Ostrander	75240
Aubrey Beardsley	Haldane Macfall	75239
The Motion Picture Chums' new idea	Victor Appleton	75238
There was once a slave ...	Shirley Graham	75237
Magdolna és egyéb elbeszélések	Ferenc Molnár	75236	Hungarian
L'appel de la route	Édouard Estaunié	75235	French
Who he?	Alfred Bester	75234
Dragon moon	Henry Kuttner	75233
The unseen universe	Balfour Stewart and Peter Guthrie Tait	75232
A girl and her ways	Amy Le Feuvre	75231
The doctor looks at literature	Joseph Collins	75230
The flying carpet	Cynthia Asquith	75229
Le roman de Joël	Pierre Maël	75228	French
Hungarian literature	Emil Reich	75227
Light interviews with shades	Robert Webster Jones	75226
Mémoires d'une vieille fille	René Bazin	75225	French
Kultaviulu	Ferenc Herczeg	75224	Finnish
Avaruuden portilla	Väinö Siikaniemi	75223	Finnish
The Draycott murder mystery	Molly Thynne	75222
Étude sur la Franc-Maçonnerie	Félix Dupanloup	75221	French
Historias das Ilhas	Maximiliano de Azevedo	75220	Portuguese
The promise of the bell	Agnes Repplier	75219
Secret of the Earth Star	Henry Kuttner	75218
In the camp of the Black Rider	Albert Capwell Wyckoff	75217
At the library table	Adrian Hoffman Joline	75216
Blackwood's Edinburgh Magazine, Vol. 64, No. 395, September, 1848,	75215
Au tournant des jours (Gilles de Claircœur)	Daniel-Lesueur	75214	French
Account of the Skerryvore lighthouse	Alan Stevenson	75213
A mirror for witches	Esther Forbes	75212
Chambers's Journal of Popular Literature, Science, and Art,	75211
With the Empress Dowager of China	Katharine Augusta Carl	75210
The case of the Black Twenty-Two	Brian Flynn	75209
Louhivaaran patriarkka	Simo Eronen	75208	Finnish
Álomország	Ferenc Herczeg	75207	Hungarian
Le livre commode des adresses de Paris pour 1692, tome 2/2,	75206	French
Le livre commode des adresses de Paris pour 1692, tome 1/2,	75205	French
Chambers's Journal of Popular Literature, Science, and Art,	75204
Chemistry for beginners	Hereward Carrington	75203
Balbus; or, the future of architecture	Christian Barman	75202
A Farewell to Arms	Ernest Hemingway	75201
The Man of Iron	Richard Dehan	75200
Le dessous	Rachilde	75199	French
Sainte Jeanne de Chantal	Victor Giraud	75198	French
La giovinezza di Giulio Cesare, Volume 2 of 2	Giuseppe Rovani	75197	Italian
La giovinezza di Giulio Cesare, Volume 1 of 2	Giuseppe Rovani	75196	Italian
The mystery of the Peacock's Eye	Brian Flynn	75195
Napnyugati mesék	Ferenc Herczeg	75194	Hungarian
Blindness	Henry Green	75193
Three little Trippertrots on their travels	Howard Roger Garis	75192
Opposite neighbours	Lucy Ellen Guernsey	75191
Reconstruction in Louisiana after 1868	Ella Lonn	75190
Early western travels 1748-1846, Vol. 8	Reuben Gold Thwaites	75189
Social process	Charles Horton Cooley	75188
Elämän kasvot	Maila Talvio	75187	Finnish
A literal translation of the Saxon chronicle	Anonymous	75186
Der Ameisenlöwe	Franz Doflein	75185	German
Political fragments of Archytas, Charondas, Zaleucus, and other	75184
The Eatonville anthology	Zora Neale Hurston	75183
An American Tragedy, Vol. 2	Theodore Dreiser	75182
An American tragedy, Vol. 1	Theodore Dreiser	75181
Children of the lighthouse	Nora Archibald Smith	75180
Her Majesty the King	James Jeffery Roche	75179
Across the sub-Arctics of Canada	James William Tyrrell	75178
FMFM1-1 Marine bayonet training	United States Marine Corps	75177
Henry goes prehistoric	W. C. Tuttle	75176
Sons of fire	Mary Elizabeth Braddon	75175
Sons of fire	Mary Elizabeth Braddon	75174
Sons of fire	Mary Elizabeth Braddon	75173
The nature of a crime	Joseph Conrad and Ford Madox Ford	75172
The boys of Columbia High in track athletics	Graham B. Forbes	75171
The Sound and the Fury	William Faulkner	75170
Lebenstag eines Menschenfreundes	Wilhelm Schäfer	75169	German
Secret remedies	British Medical Association	75168
Blackwood's Edinburgh Magazine, Vol. 93, No. 569, March, 1863,	75167
Stories told	the miller	Violet Jacob	75166
Chesterton as seen	his contemporaries	Cyril Clemens	75165
Roy Blakeley's roundabout hike	Percy Keese Fitzhugh	75164
The American Red Cross Magazine, Vol. 8, No. 2, April 1913,	75163
Kotikaiho	Grazia Deledda	75162	Finnish
The book of the American Indian	Hamlin Garland	75161
Kuoleman uhalla	Eleanor M. Ingram	75160	Finnish
Niskureita	Lauri Sauramo	75159	Finnish
Halikon hakoniskat	Niilo Kallio	75158	Finnish
The Bishop murder case	S. S. Van Dine	75157
Where sunlight falls	Wilhelmina Stitch	75156
Silver linings	Wilhelmina Stitch	75155
Silken threads	Wilhelmina Stitch	75154
The little grey lamb	Herbert H. Gowen	75153
Kokemukseni vakoojana	R. S. S. Baden-Powell	75152	Finnish
Marianna	Grazia Deledda	75151	Finnish
X-ray, violet ray and other rays	Maynard Shipley	75150
American boys afloat	Oliver Optic	75149
Boy bird house architecture	Leon H. Baxter	75148
The collected stories of Elisabeth Sanxay Holding from Munsey's	75147
Magazine, 1920-1928
The Eames-Erskine case	A. Fielding	75146
Human nature and the social order	Charles Horton Cooley	75145
A boys' life of Booker T. Washington	W. C. Jackson	75144
Világ ura	Jules Verne	75143	Hungarian
Merrylips	Beulah Marie Dix	75142
Lumivuoren kotka	Paul Grundmann	75141	Finnish
Pako Egyptiin	Grazia Deledda	75140	Finnish
Garibaldi, Vol. 2 of 2	Giuseppe Guerzoni	75139	Italian
The girlhood of Queen Victoria	Viscount Reginald Baliol Brett Esher	75138
between the years 1832 and 1840
Suffered in vain	Bertha M. Clay	75137
La orfaneta de Menargues o Catalunya agonisant	Antoni de Bofarull	75136	Catalan
